City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
199,Alta Floresta,BR,2021-10-09 18:40:59,-9.8756,-56.0861,93.02,49,20,6.91
200,Buenos Aires,AR,2021-10-09 18:40:52,-34.6132,-58.3772,70.02,59,0,14.97
201,Kalmunai,LK,2021-10-09 18:40:59,7.4167,81.8167,81.34,70,100,6.69
202,Corrente,BR,2021-10-09 18:40:59,-3.7367,-43.3394,86.83,54,100,2.21
203,Machico,PT,2021-10-09 18:41:01,32.7,-16.7667,74.03,69,40,14.97
204,Druzhba,UA,2021-10-09 18:41:01,52.0428,33.9453,39.31,64,35,6.85
205,Eqbaliyeh,IR,2021-10-09 18:41:02,35.3022,51.5358,62.42,39,0,8.1
206,Bichena,ET,2021-10-09 18:41:21,10.45,38.2,53.87,76,100,2.95
207,Beinamar,TD,2021-10-09 18:41:39,8.6698,15.3813,81.59,67,89,3.11
208,Ilulissat,GL,2021-10-09 18:41:39,69.2167,-51.1,28.42,43,75,9.22
209,Ylojarvi,FI,2021-10-09 18:41:40,61.5563,23.5961,52.81,96,90,4.61
210,Jumla,NP,2021-10-09 18:39:05,29.2747,82.1838,52.45,87,5,3.87
211,Paracuru,BR,2021-10-09 18:41:41,-3.41,-39.0306,84.22,68,93,15.08
212,Mecca,SA,2021-10-09 18:41:42,21.4267,39.8261,88.09,53,66,3.69
213,Jacmel,HT,2021-10-09 18:41:42,18.2342,-72.5347,91.24,68,33,6.04
214,Bekeshevskaya,RU,2021-10-09 18:41:43,44.1139,42.4269,45.77,86,100,9.24
215,Dingle,PH,2021-10-09 18:36:46,10.9995,122.6711,74.53,95,100,9.95
216,Douentza,ML,2021-10-09 18:41:43,14.9951,-2.9517,94.23,10,9,6.13
217,Teguise,ES,2021-10-09 18:42:01,29.0605,-13.564,71.82,73,20,17.27
218,Kavaratti,IN,2021-10-09 18:42:11,10.5669,72.642,82.4,79,100,10.25
219,Gravdal,NO,2021-10-09 18:42:12,68.1214,13.5031,48.83,97,100,16.13
220,Carnarvon,AU,2021-10-09 18:42:13,-24.8667,113.6333,64.47,72,0,20.71
221,Maun,BW,2021-10-09 18:42:13,-19.9833,23.4167,89.56,19,0,3.44
222,Vagay,RU,2021-10-09 18:37:12,57.9375,69.0217,38.71,80,96,6.93
223,Deutschlandsberg,AT,2021-10-09 18:42:14,46.8153,15.2222,48.24,92,5,4.54
224,Romitan,UZ,2021-10-09 18:42:14,39.9343,64.3814,48.15,29,0,4.61
225,Quatre Cocos,MU,2021-10-09 18:42:15,-20.2078,57.7625,72.09,78,13,17.65
226,Bombay,IN,2021-10-09 18:37:52,19.0144,72.8479,80.58,89,40,3.44
227,Bonavista,CA,2021-10-09 18:42:15,48.6499,-53.1147,46.11,79,38,36.15
228,Husavik,IS,2021-10-09 18:37:18,66.0449,-17.3389,40.91,98,100,9.98
229,Orocue,CO,2021-10-09 18:42:16,4.7912,-71.3354,90.72,54,93,4.09
230,Taltal,CL,2021-10-09 18:42:17,-25.4,-70.4833,62.42,61,22,8.72
231,Vestmanna,FO,2021-10-09 18:36:44,62.1564,-7.1664,49.12,100,90,13.8
232,Kristiansund,NO,2021-10-09 18:42:17,63.1115,7.732,60.85,94,75,3.44
233,Rio Gallegos,AR,2021-10-09 18:42:18,-51.6226,-69.2181,69.85,23,75,34.52
234,Correntina,BR,2021-10-09 18:42:19,-13.3433,-44.6367,99.03,18,41,10.33
235,Dudinka,RU,2021-10-09 18:42:22,69.4058,86.1778,20.75,88,95,14.52
236,Tingo Maria,PE,2021-10-09 18:42:23,-9.2895,-76.0088,79.11,78,75,0.0
237,Oranjemund,NA,2021-10-09 18:42:23,-28.55,16.4333,58.84,82,27,17.34
238,Aktau,KZ,2021-10-09 18:42:23,43.65,51.2,41.58,35,4,5.1
239,Luderitz,NA,2021-10-09 18:42:24,-26.6481,15.1594,64.2,58,34,19.33
240,Anloga,GH,2021-10-09 18:42:24,5.7947,0.8973,82.62,82,63,12.62
241,Gamba,GA,2021-10-09 18:42:25,-2.65,10.0,77.34,89,100,9.84
242,Maldonado,UY,2021-10-09 18:42:25,-34.6667,-54.9167,65.59,58,13,12.21
243,Luanda,AO,2021-10-09 18:42:26,-8.8368,13.2343,75.2,78,40,11.5
244,Vestmannaeyjar,IS,2021-10-09 18:42:27,63.4427,-20.2734,47.39,87,40,11.5
245,Sinnamary,GF,2021-10-09 18:42:40,5.3833,-52.95,84.87,68,100,10.74
246,Takoradi,GH,2021-10-09 18:42:41,4.8845,-1.7554,78.1,88,100,9.95
247,Pervomayskiy,RU,2021-10-09 18:42:42,53.2485,40.2871,40.14,66,0,4.27
248,Havre-Saint-Pierre,CA,2021-10-09 18:37:13,50.2334,-63.5986,52.39,71,40,6.91
249,Klyavlino,RU,2021-10-09 18:42:45,54.2649,52.0267,40.14,79,99,3.96
250,Voi,KE,2021-10-09 18:42:45,-3.3945,38.563,72.84,81,76,9.13
251,Sinop,TR,2021-10-09 18:42:46,41.7711,34.8709,55.92,89,96,1.63
252,Shurob,TJ,2021-10-09 18:42:46,40.0491,70.5489,42.49,87,100,7.7
253,Bonthe,SL,2021-10-09 18:42:47,7.5264,-12.505,79.84,80,99,10.27
254,Kousseri,CM,2021-10-09 18:42:47,12.0769,15.0306,87.76,29,76,3.44
255,Swellendam,ZA,2021-10-09 18:42:48,-34.0226,20.4417,54.9,75,0,4.88
256,Grand Gaube,MU,2021-10-09 18:36:44,-20.0064,57.6608,72.37,78,1,8.99
257,Kyzyl-Suu,KG,2021-10-09 18:42:49,42.3414,78.0056,44.67,57,76,7.23
258,Valparaiso,CL,2021-10-09 18:40:51,-33.0393,-71.6273,62.24,67,0,6.91
259,Kjollefjord,NO,2021-10-09 18:42:51,70.9457,27.3465,37.02,96,100,5.32
260,Inhambane,MZ,2021-10-09 18:42:52,-23.865,35.3833,73.38,83,0,18.41
261,Milan,IT,2021-10-09 18:42:52,45.4643,9.1895,61.18,60,20,2.3
262,Vatava,RO,2021-10-09 18:42:53,46.9667,24.7667,41.04,57,100,7.34
263,Upington,ZA,2021-10-09 18:42:59,-28.4478,21.2561,68.38,22,0,5.75
264,Korla,CN,2021-10-09 18:39:14,41.7597,86.1469,46.17,43,7,4.07
265,Nanortalik,GL,2021-10-09 18:42:59,60.1432,-45.2371,37.51,82,6,3.09
266,Tandil,AR,2021-10-09 18:40:06,-37.3217,-59.1332,63.48,50,0,8.28
267,Meulaboh,ID,2021-10-09 18:43:00,4.1363,96.1285,77.11,86,75,5.88
268,Terekli-Mekteb,RU,2021-10-09 18:43:01,44.1671,45.8698,51.69,59,92,16.6
269,Upata,VE,2021-10-09 18:43:01,8.0086,-62.3989,87.19,82,98,3.56
270,Los Llanos De Aridane,ES,2021-10-09 18:43:02,28.6585,-17.9182,70.12,83,20,17.27
